snapshot,code,service,offices,capacity
2024-12,03303,短期入所療養介護（介護老人保健施設）,1,2
2024-12,03303,福祉用具貸与,1,0
2024-12,03303,訪問リハビリテーション,2,20
2024-12,03303,訪問介護,1,40
2024-12,03303,訪問看護,2,0
2024-12,03303,認知症対応型共同生活介護,4,27
2024-12,03303,認知症対応型通所介護,1,0
2024-12,03303,通所リハビリテーション,3,30
2024-12,03303,通所介護,1,40
2024-12,03321,介護老人福祉施設,3,0
2024-12,03321,地域密着型通所介護,9,15
2024-12,03321,小規模多機能型居宅介護,1,12
2024-12,03321,居宅介護支援,7,10
2024-12,03321,特定福祉用具販売,1,0
2024-12,03321,短期入所生活介護,5,0
2024-12,03321,福祉用具貸与,1,0
2024-12,03321,訪問介護,5,85
2024-12,03321,訪問看護,3,100
2024-12,03321,認知症対応型共同生活介護,3,27
2024-12,03321,通所介護,7,25
2024-12,03322,介護老人保健施設,3,95
2024-12,03322,介護老人福祉施設,1,0
2024-12,03322,地域密着型介護老人福祉施設入所者生活介護,1,0
2024-12,03322,地域密着型通所介護,5,125
2024-12,03322,小規模多機能型居宅介護,1,0
2024-12,03322,居宅介護支援,7,185
2024-12,03322,特定福祉用具販売,2,0
2024-12,03322,短期入所生活介護,2,0
2024-12,03322,短期入所療養介護（介護老人保健施設）,3,7
2024-12,03322,福祉用具貸与,2,0
2024-12,03322,訪問リハビリテーション,2,0
2024-12,03322,訪問介護,6,22
2024-12,03322,訪問入浴介護,1,0
2024-12,03322,訪問看護,4,0
2024-12,03322,認知症対応型共同生活介護,2,18
2024-12,03322,認知症対応型通所介護,1,6
2024-12,03322,通所リハビリテーション,2,0
2024-12,03322,通所介護,5,77
2024-12,03366,介護老人保健施設,1,81
2024-12,03366,介護老人福祉施設,2,52
2024-12,03366,小規模多機能型居宅介護,3,43
2024-12,03366,居宅介護支援,2,117
2024-12,03366,短期入所生活介護,2,10
2024-12,03366,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03366,訪問リハビリテーション,1,0
2024-12,03366,訪問介護,1,0
2024-12,03366,訪問入浴介護,1,0
2024-12,03366,訪問看護,1,0
2024-12,03366,認知症対応型共同生活介護,2,18
2024-12,03366,認知症対応型通所介護,2,0
2024-12,03366,通所リハビリテーション,2,19
2024-12,03366,通所介護,2,0
2024-12,03381,介護老人保健施設,1,0
2024-12,03381,介護老人福祉施設,2,30
2024-12,03381,地域密着型介護老人福祉施設入所者生活介護,2,0
2024-12,03381,小規模多機能型居宅介護,2,0
2024-12,03381,居宅介護支援,5,15
2024-12,03381,特定福祉用具販売,2,0
2024-12,03381,短期入所生活介護,3,0
2024-12,03381,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03381,福祉用具貸与,2,0
2024-12,03381,訪問介護,3,95
2024-12,03381,訪問看護,2,0
2024-12,03381,認知症対応型共同生活介護,3,18
2024-12,03381,認知症対応型通所介護,1,0
2024-12,03381,通所リハビリテーション,2,65
2024-12,03381,通所介護,3,0
2024-12,03402,介護老人保健施設,1,0
2024-12,03402,介護老人福祉施設,1,50
2024-12,03402,地域密着型介護老人福祉施設入所者生活介護,1,0
2024-12,03402,地域密着型通所介護,1,0
2024-12,03402,居宅介護支援,3,35
2024-12,03402,短期入所生活介護,2,8
2024-12,03402,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03402,訪問リハビリテーション,1,0
2024-12,03402,訪問介護,2,0
2024-12,03402,認知症対応型共同生活介護,3,27
2024-12,03402,認知症対応型通所介護,1,0
2024-12,03402,通所リハビリテーション,1,0
2024-12,03402,通所介護,2,25
2024-12,03441,介護老人福祉施設,1,70
2024-12,03441,地域密着型通所介護,1,0
2024-12,03441,居宅介護支援,3,35
2024-12,03441,短期入所生活介護,1,0
2024-12,03441,訪問介護,2,0
2024-12,03441,訪問入浴介護,1,0
2024-12,03441,訪問看護,1,0
2024-12,03441,認知症対応型共同生活介護,1,9
2024-12,03441,通所介護,3,98
2024-12,03461,介護老人保健施設,1,0
2024-12,03461,介護老人福祉施設,2,110
2024-12,03461,地域密着型通所介護,4,0
2024-12,03461,小規模多機能型居宅介護,2,29
2024-12,03461,居宅介護支援,3,0
2024-12,03461,特定福祉用具販売,1,0
2024-12,03461,短期入所生活介護,2,25
2024-12,03461,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03461,福祉用具貸与,1,0
2024-12,03461,訪問リハビリテーション,1,0
2024-12,03461,訪問介護,2,0
2024-12,03461,訪問入浴介護,1,0
2024-12,03461,認知症対応型共同生活介護,2,36
2024-12,03461,通所リハビリテーション,1,0
2024-12,03482,介護老人保健施設,1,0
2024-12,03482,介護老人福祉施設,1,0
2024-12,03482,地域密着型通所介護,1,0
2024-12,03482,小規模多機能型居宅介護,2,0
2024-12,03482,居宅介護支援,8,93
2024-12,03482,短期入所生活介護,1,0
2024-12,03482,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03482,訪問リハビリテーション,1,0
2024-12,03482,訪問介護,6,0
2024-12,03482,訪問入浴介護,2,0
2024-12,03482,訪問看護,1,0
2024-12,03482,認知症対応型共同生活介護,5,9
2024-12,03482,通所リハビリテーション,1,0
2024-12,03482,通所介護,1,25
2024-12,03483,介護老人保健施設,1,0
2024-12,03483,介護老人福祉施設,1,0
2024-12,03483,地域密着型通所介護,3,36
2024-12,03483,小規模多機能型居宅介護,1,0
2024-12,03483,居宅介護支援,3,0
2024-12,03483,短期入所生活介護,1,0
2024-12,03483,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03483,訪問リハビリテーション,1,0
2024-12,03483,訪問介護,1,0
2024-12,03483,訪問入浴介護,1,0
2024-12,03483,訪問看護,1,0
2024-12,03483,認知症対応型共同生活介護,3,9
2024-12,03483,通所リハビリテーション,1,0
2024-12,03483,通所介護,2,30
2024-12,03484,介護老人福祉施設,1,0
2024-12,03484,地域密着型介護老人福祉施設入所者生活介護,1,29
