code,year,type,count
03202,2023,オートバイ盗,0
03202,2023,自動販売機ねらい,2
03202,2023,自動車盗,1
03202,2023,自転車盗,5
03202,2023,車上ねらい,2
03202,2023,部品ねらい,0
03202,2024,ひったくり,0
03202,2024,オートバイ盗,0
03202,2024,自動販売機ねらい,0
03202,2024,自動車盗,0
03202,2024,自転車盗,5
03202,2024,車上ねらい,2
03202,2024,部品ねらい,0
03202,2025,ひったくり,0
03202,2025,オートバイ盗,0
03202,2025,自動販売機ねらい,2
03202,2025,自動車盗,0
03202,2025,自転車盗,5
03202,2025,車上ねらい,2
03202,2025,部品ねらい,0
03203,2016,ひったくり,0
03203,2016,オートバイ盗,0
03203,2016,自動販売機ねらい,0
03203,2016,自動車盗,0
03203,2016,自転車盗,0
03203,2016,車上ねらい,0
03203,2016,部品ねらい,0
03203,2017,ひったくり,0
03203,2017,オートバイ盗,0
03203,2017,自動販売機ねらい,0
03203,2017,自動車盗,0
03203,2017,自転車盗,0
03203,2017,車上ねらい,0
03203,2017,部品ねらい,0
03203,2018,ひったくり,0
03203,2018,オートバイ盗,0
03203,2018,自動販売機ねらい,1
03203,2018,自動車盗,0
03203,2018,自転車盗,2
03203,2018,車上ねらい,2
03203,2018,部品ねらい,1
03203,2019,ひったくり,1
03203,2019,オートバイ盗,2
03203,2019,自動販売機ねらい,0
03203,2019,自動車盗,0
03203,2019,自転車盗,2
03203,2019,車上ねらい,6
03203,2019,部品ねらい,1
03203,2020,ひったくり,0
03203,2020,オートバイ盗,0
03203,2020,自動販売機ねらい,0
03203,2020,自動車盗,0
03203,2020,自転車盗,1
03203,2020,車上ねらい,0
03203,2020,部品ねらい,0
03203,2021,ひったくり,0
03203,2021,オートバイ盗,0
03203,2021,自動販売機ねらい,1
03203,2021,自動車盗,0
03203,2021,自転車盗,1
03203,2021,車上ねらい,1
03203,2021,部品ねらい,3
03203,2022,ひったくり,0
03203,2022,オートバイ盗,0
03203,2022,自動販売機ねらい,0
03203,2022,自動車盗,1
03203,2022,自転車盗,3
03203,2022,車上ねらい,0
03203,2022,部品ねらい,1
03203,2023,ひったくり,0
03203,2023,オートバイ盗,0
03203,2023,自動販売機ねらい,0
03203,2023,自動車盗,0
03203,2023,自転車盗,1
03203,2023,車上ねらい,1
03203,2023,部品ねらい,0
03203,2024,ひったくり,0
03203,2024,オートバイ盗,0
03203,2024,自動販売機ねらい,0
03203,2024,自動車盗,2
03203,2024,自転車盗,7
03203,2024,車上ねらい,3
03203,2024,部品ねらい,2
03203,2025,ひったくり,0
03203,2025,オートバイ盗,0
03203,2025,自動販売機ねらい,0
03203,2025,自動車盗,0
03203,2025,自転車盗,1
03203,2025,車上ねらい,3
03203,2025,部品ねらい,7
