year,code,name,gen_total,gen_with_beds,gen_ryoyo,gen_no_beds,dent_total,dent_with_beds,dent_no_beds,gen_beds,gen_ryoyo_beds
2013,03215,奥州市,94,20,5,74,52,-,52,317,61
2013,03381,金ケ崎町,11,1,-,10,6,-,6,19,-
2013,03209,一関市,90,10,1,80,53,-,53,115,8
2013,03402,平泉町,2,-,-,2,2,-,2,-,-
2013,03203,大船渡市,26,2,-,24,14,-,14,38,-
2013,03210,陸前高田市,10,2,-,8,7,-,7,23,-
2013,03441,住田町,5,1,-,4,2,-,2,19,-
2013,03211,釜石市,15,1,-,14,15,-,15,16,-
2013,03461,大槌町,9,-,-,9,2,-,2,-,-
2013,03202,宮古市,34,7,1,27,25,-,25,86,6
2013,03482,山田町,5,-,-,5,3,-,3,-,-
2013,03483,岩泉町,7,1,-,6,5,-,5,12,-
2013,03484,田野畑村,3,-,-,3,2,-,2,-,-
2013,03207,久慈市,21,2,-,19,15,-,15,36,-
2013,03485,普代村,2,1,-,1,1,-,1,13,-
2013,03503,野田村,3,-,-,3,1,-,1,-,-
2013,03507,洋野町,6,1,-,5,5,-,5,6,-
2013,03213,二戸市,16,6,1,10,15,-,15,90,16
2013,03501,軽米町,6,-,-,6,3,-,3,-,-
2013,03506,九戸村,3,1,-,2,1,-,1,19,-
2013,03524,一戸町,7,1,-,6,5,-,5,19,-
2014,03,岩手県,902,123,18,779,594,-,594,1663,219
2014,03201,盛岡市,261,38,3,223,202,-,202,459,38
2014,03214,八幡平市,14,2,-,12,9,-,9,21,-
2014,03301,雫石町,12,3,-,9,6,-,6,42,-
2014,03302,葛巻町,4,1,1,3,3,-,3,19,15
2014,03303,岩手町,13,2,1,11,5,-,5,38,15
2014,03216,滝沢市,27,1,-,26,21,-,21,10,-
2014,03321,紫波町,18,2,-,16,13,-,13,32,-
2014,03322,矢巾町,19,3,1,16,15,-,15,50,12
2014,03205,花巻市,71,11,2,60,35,-,35,158,24
2014,03206,北上市,70,8,2,62,41,-,41,87,24
2014,03208,遠野市,20,2,-,18,11,-,11,19,-
2014,03366,西和賀町,7,1,1,6,2,-,2,11,7
2014,03215,奥州市,88,15,4,73,51,-,51,235,54
2014,03381,金ケ崎町,10,1,-,9,6,-,6,19,-
2014,03209,一関市,85,8,1,77,52,-,52,107,8
2014,03402,平泉町,2,-,-,2,2,-,2,-,-
2014,03203,大船渡市,26,2,-,24,16,-,16,38,-
2014,03210,陸前高田市,8,2,-,6,7,-,7,23,-
2014,03441,住田町,5,1,-,4,2,-,2,19,-
2014,03211,釜石市,19,2,-,17,14,-,14,21,-
2014,03461,大槌町,8,-,-,8,3,-,3,-,-
2014,03202,宮古市,34,6,1,28,23,-,23,73,6
2014,03482,山田町,5,-,-,5,3,-,3,-,-
2014,03483,岩泉町,7,1,-,6,5,-,5,12,-
2014,03484,田野畑村,3,-,-,3,2,-,2,-,-
2014,03207,久慈市,21,2,-,19,14,-,14,36,-
2014,03485,普代村,2,1,-,1,1,-,1,13,-
2014,03503,野田村,3,-,-,3,1,-,1,-,-
2014,03507,洋野町,5,1,-,4,5,-,5,6,-
2014,03213,二戸市,18,5,1,13,15,-,15,77,16
2014,03501,軽米町,6,-,-,6,3,-,3,-,-
2014,03506,九戸村,3,1,-,2,1,-,1,19,-
2014,03524,一戸町,8,1,-,7,5,-,5,19,-
2015,03,岩手県,904,117,17,787,594,-,594,1576,207
2015,03201,盛岡市,260,36,3,224,202,-,202,428,38
2015,03214,八幡平市,15,2,-,13,9,-,9,21,-
2015,03301,雫石町,12,2,-,10,6,-,6,28,-
2015,03302,葛巻町,3,1,1,2,3,-,3,19,15
2015,03303,岩手町,13,2,1,11,4,-,4,38,15
2015,03216,滝沢市,26,1,-,25,21,-,21,10,-
2015,03321,紫波町,18,2,-,16,12,-,12,32,-
2015,03322,矢巾町,19,3,1,16,15,-,15,50,12
2015,03205,花巻市,71,10,2,61,35,-,35,155,24
2015,03206,北上市,71,8,2,63,42,-,42,87,24
2015,03208,遠野市,19,1,-,18,11,-,11,11,-
2015,03366,西和賀町,7,1,1,6,2,-,2,11,7
2015,03215,奥州市,89,14,3,75,51,-,51,216,42
2015,03381,金ケ崎町,11,1,-,10,6,-,6,19,-
2015,03209,一関市,83,8,1,75,51,-,51,107,8
2015,03402,平泉町,2,-,-,2,2,-,2,-,-
2015,03203,大船渡市,27,2,-,25,17,-,17,38,-
2015,03210,陸前高田市,8,2,-,6,7,-,7,23,-
2015,03441,住田町,5,1,-,4,2,-,2,19,-
2015,03211,釜石市,21,2,-,19,15,-,15,21,-
2015,03461,大槌町,8,-,-,8,3,-,3,-,-
2015,03202,宮古市,34,6,1,28,23,-,23,73,6
2015,03482,山田町,5,-,-,5,3,-,3,-,-
2015,03483,岩泉町,7,1,-,6,5,-,5,12,-
2015,03484,田野畑村,3,-,-,3,2,-,2,-,-
2015,03207,久慈市,22,2,-,20,14,-,14,36,-
2015,03485,普代村,2,1,-,1,1,-,1,13,-
2015,03503,野田村,3,-,-,3,1,-,1,-,-
2015,03507,洋野町,5,1,-,4,5,-,5,6,-
2015,03213,二戸市,18,5,1,13,15,-,15,65,16
2015,03501,軽米町,6,-,-,6,3,-,3,-,-
2015,03506,九戸村,3,1,-,2,1,-,1,19,-
2015,03524,一戸町,8,1,-,7,5,-,5,19,-
2016,03,岩手県,898,113,14,785,592,-,592,1506,158
2016,03201,盛岡市,259,33,1,226,201,-,201,368,9
2016,03214,八幡平市,15,2,-,13,9,-,9,21,-
2016,03301,雫石町,12,2,-,10,6,-,6,28,-
2016,03302,葛巻町,3,1,1,2,3,-,3,19,15
2016,03303,岩手町,13,2,1,11,5,-,5,38,15
2016,03216,滝沢市,26,1,-,25,21,-,21,10,-
2016,03321,紫波町,18,2,-,16,12,-,12,32,-
2016,03322,矢巾町,20,4,1,16,14,-,14,69,12
2016,03205,花巻市,71,10,2,61,34,-,34,155,24
2016,03206,北上市,70,7,2,63,42,-,42,77,22
2016,03208,遠野市,16,1,-,15,11,-,11,11,-
2016,03366,西和賀町,7,1,1,6,2,-,2,11,7
2016,03215,奥州市,92,13,2,79,52,-,52,197,24
2016,03381,金ケ崎町,11,1,-,10,6,-,6,19,-
2016,03209,一関市,83,8,1,75,52,-,52,107,8
2016,03402,平泉町,2,-,-,2,2,-,2,-,-
2016,03203,大船渡市,26,2,-,24,17,-,17,38,-
2016,03210,陸前高田市,8,2,-,6,7,-,7,23,-
2016,03441,住田町,3,1,-,2,2,-,2,19,-
2016,03211,釜石市,22,2,-,20,15,-,15,21,-
2016,03461,大槌町,7,-,-,7,3,-,3,-,-
2016,03202,宮古市,34,6,1,28,22,-,22,73,6
2016,03482,山田町,3,-,-,3,3,-,3,-,-
2016,03483,岩泉町,7,1,-,6,5,-,5,12,-
2016,03484,田野畑村,3,-,-,3,2,-,2,-,-
2016,03207,久慈市,22,2,-,20,13,-,13,36,-
2016,03485,普代村,2,1,-,1,1,-,1,13,-
2016,03503,野田村,3,-,-,3,1,-,1,-,-
2016,03507,洋野町,5,1,-,4,5,-,5,6,-
2016,03213,二戸市,18,5,1,13,15,-,15,65,16
2016,03501,軽米町,6,-,-,6,3,-,3,-,-
2016,03506,九戸村,3,1,-,2,1,-,1,19,-
2016,03524,一戸町,8,1,-,7,5,-,5,19,-
