code,kind,schools
03484,中学校,1
03484,各種学校,0
03484,専修学校,0
03484,小学校,1
03484,幼稚園,0
03484,特別支援学校,0
03484,義務教育学校,0
03484,認定こども園,0
03484,高校,0
03485,中学校,1
03485,各種学校,0
03485,専修学校,0
03485,小学校,1
03485,幼稚園,0
03485,特別支援学校,0
03485,義務教育学校,0
03485,認定こども園,0
03485,高校,0
03501,中学校,1
03501,各種学校,0
03501,専修学校,0
03501,小学校,3
03501,幼稚園,0
03501,特別支援学校,0
03501,義務教育学校,0
03501,認定こども園,0
03501,高校,1
03503,中学校,1
03503,各種学校,0
03503,専修学校,0
03503,小学校,1
03503,幼稚園,0
03503,特別支援学校,0
03503,義務教育学校,0
03503,認定こども園,0
03503,高校,0
03506,中学校,1
03506,各種学校,0
03506,専修学校,0
03506,小学校,1
03506,幼稚園,1
03506,特別支援学校,0
03506,義務教育学校,0
03506,認定こども園,0
03506,高校,1
03507,中学校,3
03507,各種学校,0
03507,専修学校,0
03507,小学校,5
03507,幼稚園,0
03507,特別支援学校,0
03507,義務教育学校,0
03507,認定こども園,4
03507,高校,2
03524,中学校,3
03524,各種学校,0
03524,専修学校,0
03524,小学校,4
03524,幼稚園,0
03524,特別支援学校,2
03524,義務教育学校,0
03524,認定こども園,0
03524,高校,1
