code,service,offices,with_url
03321,短期入所,3,1
03321,計画相談支援,2,1
03321,重度訪問介護,1,0
03321,障害児相談支援,2,1
03322,保育所等訪問支援,2,1
03322,児童発達支援,11,8
03322,共同生活援助,9,1
03322,医療型障害児入所施設,2,2
03322,同行援護,1,1
03322,地域相談支援（地域定着支援）,3,1
03322,地域相談支援（地域移行支援）,3,1
03322,就労定着支援,1,1
03322,就労移行支援,2,2
03322,就労継続支援Ａ型,2,1
03322,就労継続支援Ｂ型,8,6
03322,居宅介護,5,4
03322,放課後等デイサービス,11,5
03322,施設入所支援,3,3
03322,生活介護,8,7
03322,療養介護,1,1
03322,短期入所,6,5
03322,自立訓練（機能訓練）,1,1
03322,自立訓練（生活訓練）,2,1
03322,行動援護,1,1
03322,計画相談支援,6,1
03322,重度訪問介護,4,3
03322,障害児相談支援,6,1
03366,共同生活援助,2,0
03366,就労継続支援Ｂ型,1,0
03366,居宅介護,2,2
03366,生活介護,1,0
03366,短期入所,2,0
03366,自立訓練（生活訓練）,1,0
03366,行動援護,1,1
03366,計画相談支援,2,0
03366,重度訪問介護,1,1
03366,障害児相談支援,2,0
03381,共同生活援助,2,2
03381,同行援護,1,0
03381,地域相談支援（地域定着支援）,3,3
03381,地域相談支援（地域移行支援）,3,3
03381,就労継続支援Ｂ型,2,1
03381,居宅介護,2,0
03381,放課後等デイサービス,3,0
03381,施設入所支援,1,1
03381,生活介護,3,2
03381,短期入所,1,1
03381,行動援護,1,0
03381,計画相談支援,3,3
03381,重度訪問介護,2,0
03381,障害児相談支援,2,2
03402,共同生活援助,1,1
03402,地域相談支援（地域定着支援）,1,1
03402,地域相談支援（地域移行支援）,1,1
03402,就労継続支援Ｂ型,3,3
03402,居宅介護,1,1
03402,放課後等デイサービス,1,1
03402,施設入所支援,1,1
03402,生活介護,2,2
03402,短期入所,1,1
03402,計画相談支援,1,1
03402,障害児相談支援,1,1
03441,就労継続支援Ｂ型,1,1
03441,居宅介護,1,1
03441,重度訪問介護,1,1
03461,児童発達支援,1,1
03461,地域相談支援（地域定着支援）,1,1
03461,地域相談支援（地域移行支援）,1,1
03461,就労継続支援Ｂ型,2,1
03461,居宅介護,2,1
03461,放課後等デイサービス,3,2
03461,施設入所支援,1,0
03461,生活介護,1,0
03461,短期入所,1,0
03461,計画相談支援,2,1
03461,重度訪問介護,2,1
03461,障害児相談支援,2,1
03482,共同生活援助,2,1
03482,同行援護,1,1
03482,就労継続支援Ｂ型,3,1
03482,居宅介護,4,1
03482,施設入所支援,1,1
03482,生活介護,1,1
03482,短期入所,1,0
03482,行動援護,1,1
03482,重度訪問介護,4,1
03483,共同生活援助,2,0
03483,就労継続支援Ｂ型,2,0
03483,居宅介護,1,0
03483,生活介護,1,0
03483,計画相談支援,1,0
03484,共同生活援助,1,0
03484,就労継続支援Ｂ型,1,0
03484,居宅介護,1,1
03485,就労継続支援Ｂ型,1,0
03485,居宅介護,1,1
03485,計画相談支援,1,0
03485,重度訪問介護,1,1
03485,障害児相談支援,1,0
03501,就労継続支援Ｂ型,1,1
03501,居宅介護,2,1
