code,year,corps
03507,2016,6
03507,2017,8
03507,2018,11
03507,2019,4
03507,2020,8
03507,2021,2
03507,2022,5
03507,2023,3
03507,2024,6
03507,2025,2
03507,2026,8
03507,closed,64
03524,2016,5
03524,2017,1
03524,2018,0
03524,2019,5
03524,2020,4
03524,2021,5
03524,2022,5
03524,2023,3
03524,2024,6
03524,2025,9
03524,2026,3
03524,closed,31
