code,year,bldg_all,floor_all,bldg_house,floor_house,bldg_mixed,floor_mixed,cost_all,cost_house
03483,2015,88,11586,69,8913,1,102,185036,150356
03483,2016,55,9907,24,3101,2,209,136423,56721
03483,2017,84,14465,52,5312,1,141,328230,88597
03483,2018,104,10130,73,7414,0,0,148990,127804
03483,2019,65,6696,55,4797,0,0,150556,80966
03484,2011,32,4232,14,1371,0,0,40450,16550
03484,2012,38,6393,23,2537,0,0,69400,32794
03484,2013,94,9356,53,5498,0,0,166171,84382
03484,2014,119,12503,105,10051,1,95,239856,167967
03484,2015,52,10196,29,2982,1,166,146807,48713
03484,2016,29,4104,16,1420,1,256,68418,26573
03484,2017,25,2848,18,1568,0,0,38936,28738
03484,2018,21,1871,12,1322,1,68,31001,23971
03484,2019,19,2059,10,901,0,0,29101,15816
03485,2011,13,3155,1,48,0,0,43157,＊
03485,2012,38,11335,3,292,0,0,189025,3560
03485,2013,24,2925,13,1405,0,0,34984,19090
03485,2014,12,1640,7,662,0,0,29847,10845
03485,2015,21,2537,13,1239,0,0,67240,19200
03485,2016,10,785,8,644,0,0,13600,9600
03485,2017,12,1647,10,1178,0,0,27427,21510
03485,2018,5,672,4,483,0,0,14090,＊
03485,2019,10,1186,7,896,0,0,19943,15043
03501,2011,30,3571,16,1817,0,0,34983,25058
03501,2012,37,11922,16,1516,0,0,212545,22365
03501,2013,31,7052,19,2186,0,0,50483,28543
03501,2014,27,13626,13,1618,1,179,203533,20555
03501,2015,29,4914,18,2470,0,0,57283,34283
03501,2016,52,16371,24,3202,0,0,119100,45965
03501,2017,36,8721,28,2793,0,0,74641,45964
03501,2018,48,6814,29,3414,0,0,72841,48641
03501,2019,34,6535,21,2257,1,230,183192,43083
03503,2011,55,10004,21,1880,0,0,123137,25349
03503,2012,63,8557,36,4021,0,0,90516,53346
03503,2013,58,6761,48,5755,0,0,94704,83724
03503,2014,111,13937,96,11551,1,195,203089,182867
03503,2015,131,16264,104,9734,1,141,202924,116103
03503,2016,69,8714,46,4704,3,532,162479,85422
03503,2017,44,4819,32,3159,2,435,72823,48966
03503,2018,28,2843,20,2032,0,0,56902,36725
03503,2019,26,7621,21,1604,0,0,85505,＊
03506,2011,24,2313,18,1886,0,0,32160,27205
03506,2012,19,2159,14,1385,0,0,27571,20200
03506,2013,38,5272,29,3238,1,148,68692,49678
03506,2014,28,5176,15,1700,0,0,61932,27969
03506,2015,32,7522,15,1751,1,204,68934,27606
03506,2016,27,5876,15,1972,1,232,58957,32187
03506,2017,24,7760,14,1436,0,0,139550,27780
03506,2018,39,17048,10,1049,0,0,90679,16490
03506,2019,48,14185,20,2208,0,0,126312,38814
03507,2011,109,40280,39,4931,1,107,282676,60317
03507,2012,101,22641,57,6204,0,0,447193,78560
03507,2013,115,23968,72,8337,0,0,227994,114600
03507,2014,93,39673,54,7030,0,0,347380,96886
03507,2015,82,17778,54,6237,0,0,255714,91311
03507,2016,72,15946,52,6750,0,0,234468,109039
03507,2017,120,47414,61,6640,0,0,374263,108753
03507,2018,54,12583,43,4734,1,246,155579,79402
03507,2019,65,9360,50,5483,0,0,136721,88667
03524,2011,55,10879,33,3054,1,60,98531,42010
03524,2012,40,8319,23,2570,1,204,135279,37727
03524,2013,47,5427,35,3886,0,0,68175,54810
03524,2014,45,13868,26,2763,0,0,127329,43890
03524,2015,36,5738,27,3232,0,0,96745,56895
03524,2016,67,26026,30,3700,1,134,166719,60324
03524,2017,56,14350,28,3185,2,167,205870,47971
03524,2018,39,11822,20,2358,0,0,111329,40199
03524,2019,62,16319,36,3904,2,253,142078,69063
